type,name,fullname,category,nomad_cycles,measured_cycles,measured_by,notes
1,Keyboard,Keyboard,In/Out,0.0,,,
2,AudioIn,Audio In,In/Out,2.2,,,
3,4Output,4 Output,In/Out,2.0625,,,
4,2Output,2 Output,In/Out,1.40625,,,
5,1Output,1 Output,In/Out,1.28125,,,
7,OscA,Multiple Oscillator A,Oscillator,10.8125,,,
8,OscB,Multiple Oscillator B,Oscillator,8.28125,,,
9,OscC,Sine Oscillator,Oscillator,4.96875,,,
10,OscSlvB,Square/Pulse Slave Oscillator,Oscillator,7.125,,,
11,OscSlvC,Sawtooth Slave Oscillator,Oscillator,6.0,,,
12,OscSlvD,Triangle Slave Oscillator,Oscillator,5.875,,,
13,OscSlvE,Sine Slave Oscillator,Oscillator,3.0625,,,
14,OscSlvA,Multiple Slave Oscillator,Oscillator,7.625,,,
15,NoteSeqA,Note Sequencer A,Seqencer,1.4375,,,
16,PortamentoB,Portamento (Interruptable),Control,0.53125,,,
17,EventSeq,Event Sequencer,Seqencer,1.65625,,,
18,X-Fade,Crossfader,Mixer,1.65625,,,
19,Mixer (3),3 Inputs Mixer,Mixer,0.90625,,,
20,ADSR,ADSR Envelope,Envelope,1.625,,,
21,Compressor,Stereo Compressor/Limiter,Audio,8.28125,,,
22,PartialGen,Partial Generator,Control,0.59375,,,
23,Mod-Env,Modulated Envelope,Envelope,3.34375,,,
24,LFOA,Multiple LFO (phase),LFO,1.78125,,,
25,LFOB,Square/Pulse LFO,LFO,1.1875,,,
26,LFOC,Multiple LFO,LFO,1.46875,,,
27,LFOSlvB,Sawtooth Slave LFO,LFO,0.375,,,
28,LFOSlvC,Sine Slave LFO,LFO,0.78125,,,
29,LFOSlvD,Square/Pulse Slave LFO,LFO,0.375,,,
30,LFOSlvE,Triangle Slave LFO,LFO,0.34375,,,
31,Noise,Noise Generator,Oscillator,1.65625,,,
32,FilterBank,14 Band Filter Bank,Filter,17.9375,,,
33,ClkRndGen,Clocked Random Step Generator,LFO,0.625,,,
34,RndStepGen,Random Step Generator,LFO,0.625,,,
35,RndPulsGen,Random Pulse Generator,LFO,0.34375,,,
36,PosEdgeDelay,Positive Edge delay,Logic,0.28125,,,
37,LogicDelay,Logic Delay,Logic,0.625,,,
38,Pulse,Pulse,Logic,0.34375,,,
